"","genes","logFC","logCPM","F","PValue","FDR"
"32866","SMOX",2.28469289282223,2.92704738262164,83.5190485729439,5.72757334189678e-09,5.02223329145949e-06
"32436","SLC22A5",-1.51154849449055,4.61073242246807,82.9385834164337,6.09169788828486e-09,5.15074812518372e-06
"21057","GRIN2D",3.74026393295039,2.42331267428164,82.0004043269587,6.73473014542968e-09,5.4980943514844e-06
"35030","TNFRSF12A",3.01860226438626,4.76575818438341,80.8690747795856,7.6103909019396e-09,5.81694049822738e-06
"25449","MFAP2",2.80951370768191,2.52630396403657,80.8614590171259,7.61669083189223e-09,5.81694049822738e-06
"22035","IGSF10",-3.56570543519667,3.03161622559697,79.6240125586661,8.72003254595072e-09,6.35382091551301e-06
"975","ARFGAP1",0.997296511052771,5.64150260881595,79.4316580199064,8.9066783247669e-09,6.35382091551301e-06
"288","ADAMTS12",2.65202826184699,3.49424336462556,79.0084743976177,9.33282516003138e-09,6.35382091551301e-06
"19222","ETFDH",-1.22028812610865,4.17283694649584,78.9502393141282,9.39318825947012e-09,6.35382091551301e-06
"26964","MMP7",6.75216911992902,2.77291384223734,78.4052836026596,9.97915173870411e-09,6.36641395630875e-06
"3539","CLDN1",4.95546840807996,4.74831346155751,78.3959068216274,9.98957672435798e-09,6.36641395630875e-06
"24869","LRRC8E",2.42019681467484,2.5645157466169,78.1926220695676,1.02185313765463e-08,6.36641395630875e-06
"29254","PDPN",2.86919701595461,4.07879413136745,77.2862996660889,1.13113068599674e-08,6.76375154005943e-06
"19413","FAM150A",4.17350231203961,0.0445969331561957,77.1954629001977,1.14276689166791e-08,6.76375154005943e-06
"29435","PHLPP2",-1.60140402052394,5.62648665087239,76.2199808069743,1.27629774534288e-08,7.25966855827675e-06
"4247","CXCL11",3.04827373293391,1.58467216552448,76.1406549841494,1.28788206736061e-08,7.25966855827675e-06
"33610","SPON2",1.78683171755966,4.92734248146873,75.4904091876274,1.38728016667141e-08,7.63810649905712e-06
"19963","FJX1",2.31500209157243,1.72319067646074,74.4108635568257,1.57128258509052e-08,8.45457163682227e-06
"32698","SLC7A11",2.94894851052593,4.76371374202511,73.4670111549785,1.75408662452312e-08,9.22844463012996e-06
"19951","FIGF",-3.81939547892074,0.412306701228019,72.794756887391,1.89839728088047e-08,9.56444499716831e-06
"29725","PLXNA1",1.4084363049314,5.98159965922849,72.7931856569863,1.89874937641778e-08,9.56444499716831e-06
"261","ADAM12",3.49796123107897,3.91956240623666,71.7347146352159,2.15295394623292e-08,1.02434108328892e-05
"29623","PLAU",2.94936869589643,5.64595220252482,71.7244128632798,2.15560355005186e-08,1.02434108328892e-05
"3806","COL7A1",3.26320096705954,5.65543961776557,71.6944153928664,2.1633391410537e-08,1.02434108328892e-05
"34421","TESC",3.9007808046056,3.84224743739297,69.596803902456,2.78729135472808e-08,1.2939043690821e-05
"893","APLN",4.28184816288544,3.07115959125407,67.7958773737395,3.48124042431422e-08,1.58496859703152e-05
"5579","ENSG00000172965.9",1.87143614625757,3.85661790188793,66.867602879073,3.91085378265493e-08,1.74697100574256e-05
"35604","TTYH3",1.36172832331446,5.68789466516745,66.4368455391584,4.12957611326772e-08,1.77557089931206e-05
"9151","ENSG00000232956.4",1.58838120962688,4.69281877504805,66.3443232031853,4.17827529537755e-08,1.77557089931206e-05
"22761","KIF26B",2.39852511200709,2.8340273762461,66.3036678876334,4.1998720321637e-08,1.77557089931206e-05
"1613","BGN",3.0751485821899,5.12854312899614,66.0092331121114,4.3599625754394e-08,1.81091428023733e-05
"16875","ENSG00000263873.1",2.10925583922098,3.72640977514344,65.6148435234894,4.58491863778904e-08,1.87151635775268e-05
"28819","OTOP2",-5.63443406697033,2.9417764752863,65.137059296683,4.87455248908063e-08,1.95601746066074e-05
"32477","SLC25A34",-2.52481192495033,2.4017147829355,64.6947861015879,5.16051508161332e-08,2.03625324261992e-05
"10163","ENSG00000236081.1",3.66350003812888,-0.196950122569342,63.8869569443034,5.73123515595132e-08,2.22437692323193e-05
"21152","GTF2IRD1",1.83310391002742,3.81117572613646,63.6258929908247,5.93011805997428e-08,2.24058517758491e-05
"35466","TSPAN7",-1.92928633751711,3.92948004566821,63.4996066569313,6.02901614882342e-08,2.24058517758491e-05
"33856","STC2",2.84364416368376,2.98737671195045,63.4643905733014,6.05691452441117e-08,2.24058517758491e-05
"792","ANLN",2.52807784410608,5.02678777188058,63.3174766108831,6.17482903762338e-08,2.24906273024205e-05
"32133","SFRP1",-3.70091482994681,4.22467509087367,63.2000886401505,6.27084568913672e-08,2.24942835894412e-05
"32705","SLC7A5",2.65202655556353,5.39220489238737,62.6202234230514,6.76965388499941e-08,2.38788238826002e-05
"7799","ENSG00000228742.5",4.26091924913506,0.0616373420870661,62.5217938489009,6.85854286807524e-08,2.38788238826002e-05
"6192","ENSG00000223749.3",2.40817483752558,0.449974053869862,62.2582777406056,7.10284543459487e-08,2.4370995023773e-05
"2215","C2CD4A",3.71199496148392,3.0268737286288,61.7284727863626,7.62325065849344e-08,2.57219817228235e-05
